source,target,type,weight
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
167,46162,directed,1
167,46163,directed,1
171,46164,directed,1
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
172,46039,directed,1
173,46084,directed,1
174,46165,directed,1
174,46166,directed,1
175,46167,directed,1
175,45920,directed,1
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
176,46168,directed,1
177,6486,directed,1
175,45920,directed,1
175,46169,directed,1
178,46170,directed,1
166,46171,directed,1
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
179,46172,directed,1
179,46173,directed,1
179,46174,directed,1
179,46175,directed,1
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
180,45836,directed,1
181,46128,directed,1
179,46145,directed,1
182,4396,directed,1
182,7733,directed,1
182,45888,directed,1
183,46176,directed,1
167,46177,directed,1
167,46178,directed,1
167,46179,directed,1
167,46084,directed,1
184,45888,directed,1
185,4596,directed,1
185,46180,directed,1
186,46181,directed,1
48,45967,directed,1
187,46166,directed,1
58,45912,directed,1
188,46182,directed,1
188,46183,directed,1
188,46184,directed,1
189,46185,directed,1
190,46186,directed,1
191,46084,directed,1
192,46187,directed,1
120,45951,directed,1
193,46188,directed,1
193,46189,directed,1
193,46190,directed,1
193,46191,directed,1
193,46192,directed,1
193,46193,directed,1
193,46194,directed,1
120,45951,directed,1
194,46195,directed,1
194,46196,directed,1
194,46197,directed,1
115,2886,directed,1
115,7733,directed,1
195,46198,directed,1
195,45978,directed,1
195,46199,directed,1
62,46200,directed,1
57,46201,directed,1
196,46202,directed,1
196,6486,directed,1
196,46203,directed,1
197,46204,directed,1
62,45920,directed,1
198,45987,directed,1
199,46205,directed,1
200,46206,directed,1
200,46207,directed,1
201,46208,directed,1
202,45836,directed,1
203,46209,directed,1
203,46210,directed,1
203,46211,directed,1
203,46212,directed,1
203,46213,directed,1
203,46214,directed,1
203,46215,directed,1
204,46216,directed,1
204,46217,directed,1
204,46218,directed,1
205,46219,directed,1
110,46220,directed,1
110,7733,directed,1
37,46221,directed,1
206,46222,directed,1
47,46201,directed,1
179,205,directed,1
179,9,directed,1
62,46223,directed,1
62,46224,directed,1
62,46225,directed,1
207,45836,directed,1
207,45838,directed,1
207,45837,directed,1
207,46226,directed,1
207,45839,directed,1
208,21590,directed,1
208,46057,directed,1
110,46192,directed,1
110,46194,directed,1
209,46227,directed,1
209,46228,directed,1
210,46229,directed,1
210,969,directed,1
210,46230,directed,1
210,46231,directed,1
210,46232,directed,1
194,46233,directed,1
211,46234,directed,1
212,46235,directed,1
212,45876,directed,1
213,45956,directed,1
25,7733,directed,1
214,46236,directed,1
185,960,directed,1
185,46237,directed,1
185,46238,directed,1
88,46166,directed,1
215,46084,directed,1
216,45920,directed,1
213,45876,directed,1
85,46239,directed,1
217,46240,directed,1
206,46241,directed,1
206,45978,directed,1
213,45957,directed,1
218,46242,directed,1
186,46243,directed,1
219,46244,directed,1
220,45922,directed,1
221,46245,directed,1
221,45922,directed,1
222,46246,directed,1
