source,target,type,weight
305,25949,directed,1
306,25970,directed,1
304,25971,directed,1
307,25972,directed,1
308,25973,directed,1
304,25974,directed,1
309,25975,directed,1
304,25743,directed,1
213,213,directed,1
306,25970,directed,1
310,310,directed,1
310,310,directed,1
311,25976,directed,1
312,312,directed,1
313,313,directed,1
314,25977,directed,1
315,25978,directed,1
316,790,directed,1
317,317,directed,1
318,4686,directed,1
213,213,directed,1
319,319,directed,1
289,289,directed,1
320,320,directed,1
268,25979,directed,1
321,321,directed,1
322,25980,directed,1
323,323,directed,1
324,324,directed,1
325,1158,directed,1
326,25981,directed,1
213,213,directed,1
327,25743,directed,1
328,25982,directed,1
329,25737,directed,1
330,25980,directed,1
331,331,directed,1
332,332,directed,1
333,333,directed,1
289,289,directed,1
334,334,directed,1
289,289,directed,1
335,25983,directed,1
336,25984,directed,1
337,25985,directed,1
334,334,directed,1
338,25986,directed,1
321,321,directed,1
339,339,directed,1
289,289,directed,1
324,324,directed,1
326,25987,directed,1
340,25988,directed,1
326,25987,directed,1
324,324,directed,1
326,25989,directed,1
289,289,directed,1
341,25990,directed,1
342,25991,directed,1
343,343,directed,1
344,25992,directed,1
289,289,directed,1
213,213,directed,1
345,25993,directed,1
251,251,directed,1
251,251,directed,1
345,25943,directed,1
324,324,directed,1
346,25994,directed,1
324,324,directed,1
347,25995,directed,1
348,25968,directed,1
349,790,directed,1
350,25996,directed,1
321,321,directed,1
351,25997,directed,1
289,289,directed,1
222,222,directed,1
326,25998,directed,1
289,289,directed,1
222,222,directed,1
324,324,directed,1
326,25999,directed,1
326,25987,directed,1
352,352,directed,1
353,25756,directed,1
353,26000,directed,1
353,26001,directed,1
353,25733,directed,1
353,26000,directed,1
353,25749,directed,1
353,26002,directed,1
353,25714,directed,1
331,331,directed,1
352,352,directed,1
354,26003,directed,1
353,26004,directed,1
353,25749,directed,1
353,26005,directed,1
353,26006,directed,1
353,25756,directed,1
353,26007,directed,1
353,353,directed,1
353,26008,directed,1
353,25733,directed,1
353,26009,directed,1
353,25913,directed,1
353,26000,directed,1
222,222,directed,1
355,25982,directed,1
356,26010,directed,1
289,289,directed,1
357,26011,directed,1
326,26012,directed,1
358,358,directed,1
241,241,directed,1
359,26013,directed,1
360,26014,directed,1
361,26015,directed,1
215,26016,directed,1
362,26017,directed,1
363,9674,directed,1
289,289,directed,1
352,352,directed,1
353,25727,directed,1
353,26018,directed,1
353,26008,directed,1
353,25749,directed,1
353,26019,directed,1
353,25714,directed,1
353,26020,directed,1
353,26008,directed,1
353,26001,directed,1
353,26001,directed,1
353,26000,directed,1
353,25710,directed,1
353,25733,directed,1
353,26021,directed,1
353,26008,directed,1
353,25908,directed,1
353,26008,directed,1
353,25735,directed,1
353,26022,directed,1
353,26002,directed,1
364,25943,directed,1
353,25756,directed,1
353,25774,directed,1
353,25733,directed,1
353,26001,directed,1
353,26008,directed,1
353,26001,directed,1
353,25733,directed,1
353,25868,directed,1
353,26023,directed,1
353,26000,directed,1
353,25756,directed,1
353,26001,directed,1
365,26024,directed,1
353,25714,directed,1
366,26025,directed,1
367,26026,directed,1
368,26027,directed,1
215,25735,directed,1
369,26028,directed,1
370,370,directed,1
331,331,directed,1
371,25982,directed,1
289,289,directed,1
372,372,directed,1
289,289,directed,1
373,373,directed,1
289,289,directed,1
374,26029,directed,1
324,324,directed,1
375,375,directed,1
289,289,directed,1
229,229,directed,1
229,229,directed,1
229,229,directed,1
229,229,directed,1
331,331,directed,1
326,26030,directed,1
289,289,directed,1
376,376,directed,1
377,26031,directed,1
378,26032,directed,1
289,289,directed,1
326,26033,directed,1
321,321,directed,1
319,319,directed,1
379,379,directed,1
289,289,directed,1
268,26034,directed,1
289,289,directed,1
380,26035,directed,1
289,289,directed,1
381,26036,directed,1
215,25774,directed,1
382,382,directed,1
359,25942,directed,1
383,383,directed,1
384,26037,directed,1
385,26038,directed,1
386,26039,directed,1
383,383,directed,1
213,213,directed,1
387,26040,directed,1
382,382,directed,1
324,324,directed,1
316,26041,directed,1
324,324,directed,1
388,26042,directed,1
316,26043,directed,1
389,389,directed,1
390,26044,directed,1
222,222,directed,1
326,25998,directed,1
391,26045,directed,1
392,392,directed,1
393,393,directed,1
353,26046,directed,1
359,26001,directed,1
394,26047,directed,1
289,289,directed,1
395,26048,directed,1
326,25987,directed,1
396,396,directed,1
397,334,directed,1
398,26049,directed,1
241,241,directed,1
399,26050,directed,1
324,324,directed,1
369,26051,directed,1
